 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 1     1  [    1 ( 0, 0, 0) ] 1  :     1    1    0.000
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 1  :     1    2    4.075
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 1  :     7    2    7.486
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 1  :    19    2    4.778
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 1  :    31    2    2.495
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 2  :     1    3    4.075
   1  [    1 ( 0, 0, 0) ] 1    41  [    2 ( 0, 0, 0) ] 3  :     3    3    4.075
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 2  :    13    3    7.486
   1  [    1 ( 0, 0, 0) ] 1    59  [    2 (-1, 0, 0) ] 3  :    17    3    7.486
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 2  :    37    3    4.778
   1  [    1 ( 0, 0, 0) ] 1     9  [    2 ( 0,-1, 0) ] 3  :    41    3    4.778
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 2  :    61    3    2.495
   1  [    1 ( 0, 0, 0) ] 1    27  [    2 ( 0, 0,-1) ] 3  :    65    3    2.495
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 1  :     1    4    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 1  :     9    4    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 1  :    17    4    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 1  :    33    4    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 1  :    57    4    8.150
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 1  :    65    4    7.058
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 1  :    81    4    4.778
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 1  :    89    4    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 2  :     1    5    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 2  :     9    5    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 3  :    17    5    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 3  :    33    5    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 3  :    57    5    8.150
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 2  :    65    5    7.058
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 3  :    81    5    4.778
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 2  :    89    5    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 3  :     1    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 3  :    17    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 2  :    33    6    2.495
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 2  :    49    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 3  :    53    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 2  :    65    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 2  :    81    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 3  :    85    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 2  :    97    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 3  :   101    6    7.486
