 # iatom, [  taui(ni)  ],  alpha_i ;  jatom, [  tauj(nj), alpha_j  :   term group  rij
   1  [  1 ( 0, 0, 0) ] 1  ;    1  [  1 ( 0, 0, 0) ] 1  ;      1    1    0.000
   1  [  1 ( 0, 0, 0) ] 1  ;   33  [  2 ( 0, 0, 0) ] 1  ;      1    2    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   60  [  2 (-1, 0, 0) ] 1  ;      7    2   11.491
   1  [  1 ( 0, 0, 0) ] 1  ;   55  [  2 ( 0,-1, 0) ] 1  ;     19    2   19.453
   1  [  1 ( 0, 0, 0) ] 1  ;   46  [  2 ( 0, 0,-1) ] 1  ;     31    2    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   33  [  2 ( 0, 0, 0) ] 2  ;      1    3    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   33  [  2 ( 0, 0, 0) ] 3  ;      3    3    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   60  [  2 (-1, 0, 0) ] 2  ;     13    3   11.491
   1  [  1 ( 0, 0, 0) ] 1  ;   60  [  2 (-1, 0, 0) ] 3  ;     17    3   11.491
   1  [  1 ( 0, 0, 0) ] 1  ;   55  [  2 ( 0,-1, 0) ] 2  ;     37    3   19.453
   1  [  1 ( 0, 0, 0) ] 1  ;   55  [  2 ( 0,-1, 0) ] 3  ;     41    3   19.453
   1  [  1 ( 0, 0, 0) ] 1  ;   46  [  2 ( 0, 0,-1) ] 2  ;     61    3    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   46  [  2 ( 0, 0,-1) ] 3  ;     65    3    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   61  [  2 (-1,-1,-1) ] 1  ;      1    4   11.912
   1  [  1 ( 0, 0, 0) ] 1  ;   50  [  2 (-1,-1, 2) ] 1  ;     13    4    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   39  [  2 (-1, 2,-1) ] 1  ;     25    4    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   44  [  2 ( 2,-1,-1) ] 1  ;     37    4    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   61  [  2 (-1,-1,-1) ] 2  ;      1    5   11.912
   1  [  1 ( 0, 0, 0) ] 1  ;   61  [  2 (-1,-1,-1) ] 3  ;      5    5   11.912
   1  [  1 ( 0, 0, 0) ] 1  ;   50  [  2 (-1,-1, 2) ] 2  ;     25    5    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   50  [  2 (-1,-1, 2) ] 3  ;     29    5    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   39  [  2 (-1, 2,-1) ] 2  ;     49    5    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   39  [  2 (-1, 2,-1) ] 3  ;     53    5    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   44  [  2 ( 2,-1,-1) ] 2  ;     73    5    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   44  [  2 ( 2,-1,-1) ] 3  ;     77    5    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 (-1,-1, 0) ] 1  ;      1    6    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 ( 1, 1, 0) ] 1  ;      4    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 (-1, 0,-1) ] 1  ;      9    6    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 ( 1, 0, 1) ] 1  ;     12    6    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 (-2, 0, 1) ] 1  ;     25    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 2, 0,-1) ] 1  ;     28    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 (-2, 1, 0) ] 1  ;     33    6    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 2,-1, 0) ] 1  ;     36    6    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 (-1,-1, 2) ] 1  ;     49    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 ( 1, 1,-2) ] 1  ;     52    6    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 (-1, 2,-1) ] 1  ;     65    6    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 ( 1,-2, 1) ] 1  ;     68    6    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 0,-2, 1) ] 1  ;     81    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 ( 0, 2,-1) ] 1  ;     84    6    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 ( 0,-1, 2) ] 1  ;     89    6    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 0, 1,-2) ] 1  ;     92    6    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 (-1,-1, 0) ] 2  ;      1    7    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 ( 1, 1, 0) ] 2  ;      8    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 (-1, 0,-1) ] 3  ;      9    7    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 ( 1, 0, 1) ] 3  ;     16    7    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 (-2, 0, 1) ] 2  ;     25    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 2, 0,-1) ] 2  ;     32    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 (-2, 1, 0) ] 3  ;     33    7    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 2,-1, 0) ] 3  ;     40    7    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 (-1,-1, 2) ] 2  ;     49    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 ( 1, 1,-2) ] 2  ;     56    7    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 (-1, 2,-1) ] 3  ;     65    7    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 ( 1,-2, 1) ] 3  ;     72    7    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 0,-2, 1) ] 2  ;     81    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 ( 0, 2,-1) ] 2  ;     88    7    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 ( 0,-1, 2) ] 3  ;     89    7    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 0, 1,-2) ] 3  ;     96    7    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 ( 1, 1, 0) ] 3  ;      4    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 ( 1, 0, 1) ] 2  ;     12    8    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 ( 0,-1,-1) ] 2  ;     17    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 ( 0,-1,-1) ] 3  ;     21    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 (-2, 0, 1) ] 3  ;     25    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 (-2, 1, 0) ] 2  ;     33    8    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 2,-1,-1) ] 2  ;     44    8    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 2,-1,-1) ] 3  ;     48    8    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 ( 1, 1,-2) ] 3  ;     52    8    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 (-1, 0, 2) ] 2  ;     57    8    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 (-1, 0, 2) ] 3  ;     61    8    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 ( 1,-2, 1) ] 2  ;     68    8    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 (-1, 2, 0) ] 2  ;     73    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 (-1, 2, 0) ] 3  ;     77    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 0,-2, 1) ] 3  ;     81    8    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 0, 1,-2) ] 2  ;     92    8    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   30  [  1 (-1,-1, 0) ] 3  ;      1    9    6.119
   1  [  1 ( 0, 0, 0) ] 1  ;   31  [  1 (-1, 0,-1) ] 2  ;      9    9    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 0, 1, 1) ] 2  ;     20    9    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 0, 1, 1) ] 3  ;     24    9    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   22  [  1 ( 2, 0,-1) ] 3  ;     28    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   15  [  1 ( 2,-1, 0) ] 2  ;     36    9    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 (-2, 1, 1) ] 2  ;     41    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 (-2, 1, 1) ] 3  ;     45    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   18  [  1 (-1,-1, 2) ] 3  ;     49    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 ( 1, 0,-2) ] 2  ;     60    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 ( 1, 0,-2) ] 3  ;     64    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;    7  [  1 (-1, 2,-1) ] 2  ;     65    9    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 ( 1,-2, 0) ] 2  ;     76    9    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 ( 1,-2, 0) ] 3  ;     80    9    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   26  [  1 ( 0, 2,-1) ] 3  ;     84    9    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   27  [  1 ( 0,-1, 2) ] 2  ;     89    9    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 ( 0,-1,-1) ] 1  ;      9   10    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 0, 1, 1) ] 1  ;     12   10    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   32  [  1 (-2, 1, 1) ] 1  ;     21   10    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   12  [  1 ( 2,-1,-1) ] 1  ;     24   10    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 (-1, 0, 2) ] 1  ;     29   10    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 ( 1, 0,-2) ] 1  ;     32   10    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   16  [  1 (-1, 2, 0) ] 1  ;     37   10    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   24  [  1 ( 1,-2, 0) ] 1  ;     40   10    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   62  [  2 (-1,-1, 0) ] 1  ;      1   11   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   49  [  2 (-1,-1, 1) ] 1  ;      9   11    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   63  [  2 (-1, 0,-1) ] 1  ;     17   11   11.231
   1  [  1 ( 0, 0, 0) ] 1  ;   37  [  2 (-1, 1,-1) ] 1  ;     33   11    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   52  [  2 ( 0,-1, 1) ] 1  ;     57   11    9.206
   1  [  1 ( 0, 0, 0) ] 1  ;   40  [  2 ( 0, 1,-1) ] 1  ;     65   11    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   42  [  2 ( 1,-1, 0) ] 1  ;     81   11    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   43  [  2 ( 1, 0,-1) ] 1  ;     89   11    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   62  [  2 (-1,-1, 0) ] 2  ;      1   12   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   49  [  2 (-1,-1, 1) ] 2  ;      9   12    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   63  [  2 (-1, 0,-1) ] 3  ;     17   12   11.231
   1  [  1 ( 0, 0, 0) ] 1  ;   37  [  2 (-1, 1,-1) ] 3  ;     33   12    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   52  [  2 ( 0,-1, 1) ] 3  ;     57   12    9.206
   1  [  1 ( 0, 0, 0) ] 1  ;   40  [  2 ( 0, 1,-1) ] 2  ;     65   12    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   42  [  2 ( 1,-1, 0) ] 3  ;     81   12    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   43  [  2 ( 1, 0,-1) ] 2  ;     89   12    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   62  [  2 (-1,-1, 0) ] 3  ;      1   13   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   49  [  2 (-1,-1, 1) ] 3  ;     17   13    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   63  [  2 (-1, 0,-1) ] 2  ;     33   13   11.231
   1  [  1 ( 0, 0, 0) ] 1  ;   51  [  2 (-1, 0, 1) ] 2  ;     49   13    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;   51  [  2 (-1, 0, 1) ] 3  ;     53   13    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;   37  [  2 (-1, 1,-1) ] 2  ;     65   13    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   38  [  2 (-1, 1, 0) ] 2  ;     81   13    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   38  [  2 (-1, 1, 0) ] 3  ;     85   13    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   64  [  2 ( 0,-1,-1) ] 2  ;     97   13   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   64  [  2 ( 0,-1,-1) ] 3  ;    101   13   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   52  [  2 ( 0,-1, 1) ] 2  ;    113   13    9.206
   1  [  1 ( 0, 0, 0) ] 1  ;   40  [  2 ( 0, 1,-1) ] 3  ;    129   13    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   41  [  2 ( 1,-1,-1) ] 2  ;    145   13    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   41  [  2 ( 1,-1,-1) ] 3  ;    149   13    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   42  [  2 ( 1,-1, 0) ] 2  ;    161   13    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   43  [  2 ( 1, 0,-1) ] 3  ;    177   13    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   51  [  2 (-1, 0, 1) ] 1  ;     13   14    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;   38  [  2 (-1, 1, 0) ] 1  ;     21   14    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   64  [  2 ( 0,-1,-1) ] 1  ;     25   14   10.026
   1  [  1 ( 0, 0, 0) ] 1  ;   41  [  2 ( 1,-1,-1) ] 1  ;     37   14    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   17  [  1 (-1,-1, 1) ] 1  ;      1   15    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;   17  [  1 ( 1, 1,-1) ] 1  ;      4   15    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;    5  [  1 (-1, 1,-1) ] 1  ;      9   15    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;    5  [  1 ( 1,-1, 1) ] 1  ;     12   15    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;    9  [  1 (-1, 1, 1) ] 1  ;      9   16    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;    9  [  1 ( 1,-1,-1) ] 1  ;     12   16    6.878
   1  [  1 ( 0, 0, 0) ] 1  ;   28  [  1 (-1, 0, 0) ] 1  ;      1   17    2.432
