 *****iteration #, L1 norm of all gradients, free energy value*****
 iteration 0 free energy  -0.50505246754258182     
           1 ,   1.3823289434144834E-003 , -0.50506481504326173     
           2 ,   6.1961870121442567E-003 , -0.50506748412871905     
           3 ,   7.9385526086227145E-003 , -0.50506749689880004     
           4 ,   7.9724756162761531E-003 , -0.50507608307463381     
           5 ,   5.7237538084127721E-004 , -0.50507578209159054     
           6 ,   1.2706060335555285E-004 , -0.50507577069821541     
           7 ,   1.2867315182587088E-004 , -0.50507579711435269     
           8 ,   1.2769310777460815E-004 , -0.50507594461547722     
           9 ,   1.2003849271696601E-004 , -0.50507635358002667     
          10 ,   9.8565200584803259E-005 , -0.50507750092391046     
          11 ,   4.9334127389162308E-005 , -0.50507745846019658     
          12 ,   5.0633331539763018E-005 , -0.50507764549721090     
          13 ,   4.0019890025818959E-005 , -0.50507836079296931     
          14 ,   5.1869533455316708E-006 , -0.50507837757103702     
          15 ,   4.5894912754219059E-006 , -0.50507835233552989     
          16 ,   4.5667233025900761E-006 , -0.50507782757154640     
          17 ,   4.1454078588383573E-006 , -0.50507771482102615     
          18 ,   4.1157875512094838E-006 , -0.50507711218410556     
          19 ,   3.5293463843809691E-006 , -0.50507405711643760     
          20 ,   3.1972712807996672E-007 , -0.50507403234846937     
          21 ,   1.7516334778841478E-007 , -0.50507399723533630     
          22 ,   4.1451553375554503E-008 , -0.50507397663058162     
          23 ,   9.2803696060937814E-009 , -0.50507397616126282     
          24 ,   9.0869446553532518E-009 , -0.50507397687262623     
          25 ,   9.2620741019453345E-009 , -0.50507397669085641     
          26 ,   9.2391537389121826E-009 , -0.50507397786028474     
          27 ,   9.3765844185263527E-009 , -0.50507397815842225     
          28 ,   9.3960919632850407E-009 , -0.50507397898755846     
          29 ,   9.3071736634560417E-009 , -0.50507402653948819     
          30 ,   5.3986862848594715E-009 , -0.50507404354014496     
          31 ,   5.3231962696593804E-009 , -0.50507404858077476     
          32 ,   5.3718545183000062E-009 , -0.50507404838353609     
          33 ,   5.3820830927909669E-009 , -0.50507404894961128     
          34 ,   4.8016639909446505E-009 , -0.50507405254136506     
          35 ,   2.7866166577359455E-009 , -0.50507405241631664     
          36 ,   2.6207319465105896E-009 , -0.50507405592975807     
          37 ,   3.0951423849610656E-010 , -0.50507405624069601     
