 Program kap8 was launched at    2024/08/23   12:48:12.597   -0400
 At the start of the Program,        TIME IS       0.0185
 After readings,                     TIME IS       0.0727
 After band structure,               TIME IS       2.1847
 After om(k) calculation within FBZ, TIME IS       3.2728
 After calculate tetrahedron dos    TIME IS       4.3398
 After calculation of phase space in FBZ,     TIME IS       4.3398
V33 calculation start,                TIME IS      4.3398
 After v33 calculation,                TIME IS      33.0077
 After v33_delta calculation,            TIME IS      35.1426
 entering to the direct and iterative BTE solver,      TIME IS     36.2527
 Q and tau_RTA in IBZ done,    TIME IS     40.1142
 FRTA in IBZ done,    TIME IS     40.1142
 kappa_RTA calculation done,   TIME IS     40.1322
 Start direct approach using cg method,                TIME IS     40.1322
 collision-symmetry matrix(IBZ*IBZ) done TIME IS     40.4171
 RHS in IBZ done,                TIME IS     40.4204
satrt cg,                TIME IS     40.4204
 cg done,                TIME IS     40.4235
 thermal conductivty calculation, TIME IS     40.5139
 direct approach using cg method done,                 TIME IS     40.5163
