 nk, la, al, be, mode_kap, mode_kap_RTA
           1           1           1           1  0.4726E-16  0.6146E-24
           2           1           1           1  0.9558E-02  0.8487E-02
           3           1           1           1 -0.4625E-17  0.9578E-26
           4           1           1           1  0.9554E-02  0.8487E-02
           5           1           1           1  0.8584E-02  0.8487E-02
           6           1           1           1 -0.8938E-14  0.2720E-25
           7           1           1           1  0.8584E-02  0.8487E-02
           8           1           1           1  0.3916E-08  0.3398E-13
           9           1           1           1 -0.4625E-17  0.9578E-26
          10           1           1           1  0.8584E-02  0.8487E-02
          11           1           1           1  0.9409E-18  0.6146E-26
          12           1           1           1  0.9596E-02  0.8927E-02
          13           1           1           1  0.8567E-02  0.8487E-02
          14           1           1           1  0.3916E-08  0.3398E-13
          15           1           1           1  0.9821E-02  0.8926E-02
          16           1           1           1 -0.2241E-13  0.1700E-24
          17           1           1           1  0.2346E-01  0.5680E-01
          18           1           1           1  0.2935E-01  0.7198E-01
          19           1           1           1  0.9558E-02  0.8487E-02
          20           1           1           1 -0.1129E-14  0.3817E-24
          21           1           1           1  0.2935E-01  0.7198E-01
          22           1           1           1  0.1275      0.2730    
          23           1           1           1  0.1219E-13  0.1092E-23
          24           1           1           1  0.9558E-02  0.8487E-02
          25           1           1           1  0.9558E-02  0.8487E-02
          26           1           1           1  0.1219E-13  0.1092E-23
          27           1           1           1  0.1454      0.2730    
          28           1           1           1  0.2935E-01  0.7198E-01
          29           1           1           1 -0.1129E-14  0.3817E-24
          30           1           1           1  0.9558E-02  0.8487E-02
          31           1           1           1  0.2935E-01  0.7198E-01
          32           1           1           1  0.2346E-01  0.5680E-01
          33           1           1           1 -0.6545E-17  0.4257E-26
          34           1           1           1  0.2346E-01  0.5680E-01
          35           1           1           1  0.2830E-16  0.2212E-24
          36           1           1           1  0.2867E-01  0.5977E-01
          37           1           1           1  0.2346E-01  0.5680E-01
          38           1           1           1  0.1853      0.3817    
          39           1           1           1  0.1039      0.2730    
          40           1           1           1 -0.8938E-14  0.2720E-25
          41           1           1           1  0.2830E-16  0.2212E-24
          42           1           1           1  0.1039      0.2730    
          43           1           1           1  -0.000      -0.000    
          44           1           1           1  0.1039      0.2730    
          45           1           1           1  0.2867E-01  0.5977E-01
          46           1           1           1 -0.8938E-14  0.2720E-25
          47           1           1           1  0.1039      0.2730    
          48           1           1           1  0.1853      0.3817    
          49           1           1           1  0.2353E-01  0.5680E-01
          50           1           1           1 -0.4650E-15  0.9543E-25
          51           1           1           1  0.9596E-02  0.8927E-02
          52           1           1           1  0.2941E-01  0.7198E-01
          53           1           1           1 -0.4650E-15  0.9543E-25
          54           1           1           1  0.2346E-01  0.5680E-01
          55           1           1           1  0.3043E-01  0.7198E-01
          56           1           1           1  0.8584E-02  0.8487E-02
          57           1           1           1  0.9596E-02  0.8927E-02
          58           1           1           1  0.3043E-01  0.7198E-01
          59           1           1           1  0.1275      0.2730    
          60           1           1           1  0.1219E-13  0.1092E-23
          61           1           1           1  0.2941E-01  0.7198E-01
          62           1           1           1  0.8584E-02  0.8487E-02
          63           1           1           1  0.1219E-13  0.1092E-23
          64           1           1           1  0.1275      0.2730    
           1           2           1           1  0.4636E-16  0.1945E-23
           2           2           1           1  0.2328E-01  0.2008E-01
           3           2           1           1 -0.1166E-16  0.9707E-25
           4           2           1           1  0.2324E-01  0.2008E-01
           5           2           1           1  0.1902E-01  0.2008E-01
           6           2           1           1  -0.000      -0.000    
           7           2           1           1  0.1902E-01  0.2008E-01
           8           2           1           1 -0.8999E-08  0.3173E-11
           9           2           1           1 -0.1166E-16  0.9707E-25
          10           2           1           1  0.1902E-01  0.2008E-01
          11           2           1           1  0.9424E-17  0.1350E-25
          12           2           1           1  0.2207E-01  0.1996E-01
          13           2           1           1  0.1901E-01  0.2008E-01
          14           2           1           1 -0.8999E-08  0.3173E-11
          15           2           1           1  0.2243E-01  0.1996E-01
          16           2           1           1  0.1040E-13  0.1547E-24
          17           2           1           1  0.4375      0.4300    
          18           2           1           1  0.4172      0.3668    
          19           2           1           1  0.2328E-01  0.2008E-01
          20           2           1           1 -0.1657E-14  0.2687E-24
          21           2           1           1  0.4172      0.3668    
          22           2           1           1  0.2578      0.3396    
          23           2           1           1 -0.6286E-14  0.3693E-24
          24           2           1           1  0.2328E-01  0.2008E-01
          25           2           1           1  0.2328E-01  0.2008E-01
          26           2           1           1 -0.6286E-14  0.3693E-24
          27           2           1           1  0.2393      0.3397    
          28           2           1           1  0.4172      0.3668    
          29           2           1           1 -0.1657E-14  0.2687E-24
          30           2           1           1  0.2328E-01  0.2008E-01
          31           2           1           1  0.4172      0.3668    
          32           2           1           1  0.4375      0.4300    
          33           2           1           1  0.1338E-15  0.3494E-25
          34           2           1           1  0.4375      0.4300    
          35           2           1           1  0.2978E-17  0.2161E-24
          36           2           1           1  0.4504      0.4272    
          37           2           1           1  0.4375      0.4300    
          38           2           1           1  0.1718      0.3795    
          39           2           1           1  0.2528      0.3396    
          40           2           1           1  -0.000      -0.000    
          41           2           1           1  0.2978E-17  0.2161E-24
          42           2           1           1  0.2528      0.3396    
          43           2           1           1   0.000      -0.000    
          44           2           1           1  0.2528      0.3396    
          45           2           1           1  0.4504      0.4272    
          46           2           1           1  -0.000      -0.000    
          47           2           1           1  0.2528      0.3396    
          48           2           1           1  0.1718      0.3795    
          49           2           1           1  0.4373      0.4300    
          50           2           1           1 -0.1253E-15  0.7465E-26
          51           2           1           1  0.2207E-01  0.1996E-01
          52           2           1           1  0.4170      0.3668    
          53           2           1           1 -0.1253E-15  0.7465E-26
          54           2           1           1  0.4375      0.4300    
          55           2           1           1  0.3967      0.3668    
          56           2           1           1  0.1902E-01  0.2008E-01
          57           2           1           1  0.2207E-01  0.1996E-01
          58           2           1           1  0.3967      0.3668    
          59           2           1           1  0.2578      0.3396    
          60           2           1           1 -0.6286E-14  0.3693E-24
          61           2           1           1  0.4170      0.3668    
          62           2           1           1  0.1902E-01  0.2008E-01
          63           2           1           1 -0.6286E-14  0.3693E-24
          64           2           1           1  0.2578      0.3396    
           1           3           1           1  0.9211E-17  0.1065E-25
           2           3           1           1  0.4308E-02  0.7083E-02
           3           3           1           1  0.3170E-16  0.1050E-24
           4           3           1           1  0.4206E-02  0.7083E-02
           5           3           1           1  0.3710E-02  0.7083E-02
           6           3           1           1 -0.1450E-14  0.5761E-26
           7           3           1           1  0.3710E-02  0.7083E-02
           8           3           1           1 -0.1542E-10  0.3419E-18
           9           3           1           1  0.3170E-16  0.1050E-24
          10           3           1           1  0.3710E-02  0.7083E-02
          11           3           1           1 -0.2373E-17  0.6656E-27
          12           3           1           1  0.4120E-02  0.7220E-02
          13           3           1           1  0.3633E-02  0.7083E-02
          14           3           1           1 -0.1542E-10  0.3419E-18
          15           3           1           1  0.4390E-02  0.7220E-02
          16           3           1           1 -0.5027E-15  0.6401E-27
          17           3           1           1  0.1732E-01  0.5103E-01
          18           3           1           1  0.8977E-01  0.7747E-01
          19           3           1           1  0.4308E-02  0.7083E-02
          20           3           1           1  0.4551E-15  0.1395E-25
          21           3           1           1  0.8977E-01  0.7747E-01
          22           3           1           1  0.8739      0.8998    
          23           3           1           1  0.5583E-14  0.4997E-25
          24           3           1           1  0.4308E-02  0.7083E-02
          25           3           1           1  0.4308E-02  0.7083E-02
          26           3           1           1  0.5583E-14  0.4997E-25
          27           3           1           1  0.8555      0.8998    
          28           3           1           1  0.8977E-01  0.7747E-01
          29           3           1           1  0.4551E-15  0.1395E-25
          30           3           1           1  0.4308E-02  0.7083E-02
          31           3           1           1  0.8977E-01  0.7747E-01
          32           3           1           1  0.1732E-01  0.5103E-01
          33           3           1           1 -0.1199E-16  0.2624E-25
          34           3           1           1  0.1732E-01  0.5103E-01
          35           3           1           1  0.1720E-16  0.2663E-26
          36           3           1           1  0.3390E-01  0.5202E-01
          37           3           1           1  0.1732E-01  0.5103E-01
          38           3           1           1   3.938       3.817    
          39           3           1           1  0.8889      0.8998    
          40           3           1           1 -0.1450E-14  0.5761E-26
          41           3           1           1  0.1720E-16  0.2663E-26
          42           3           1           1  0.8889      0.8998    
          43           3           1           1  -0.000      -0.000    
          44           3           1           1  0.8889      0.8998    
          45           3           1           1  0.3390E-01  0.5202E-01
          46           3           1           1 -0.1450E-14  0.5761E-26
          47           3           1           1  0.8889      0.8998    
          48           3           1           1   3.938       3.817    
          49           3           1           1  0.1742E-01  0.5103E-01
