 nk, la, al, be, mode_kap, mode_kap_RTA
           1           1           1           1  0.2585E-15 -0.4609E-25
           2           1           1           1  0.1511E-01  0.8486E-02
           3           1           1           1  0.2188E-15 -0.9578E-26
           4           1           1           1  0.1520E-01  0.8486E-02
           5           1           1           1  0.1323E-01  0.8486E-02
           6           1           1           1  0.4608E-15 -0.5666E-26
           7           1           1           1  0.1323E-01  0.8486E-02
           8           1           1           1   0.000      -0.000    
           9           1           1           1  0.2188E-15 -0.9578E-26
          10           1           1           1  0.1323E-01  0.8486E-02
          11           1           1           1 -0.4301E-15  0.4609E-26
          12           1           1           1  0.1566E-01  0.8927E-02
          13           1           1           1  0.1340E-01  0.8486E-02
          14           1           1           1   0.000      -0.000    
          15           1           1           1  0.1775E-01  0.8927E-02
          16           1           1           1 -0.5193E-31  0.9822E-42
          17           1           1           1  0.8334E-01  0.5680E-01
          18           1           1           1  0.1121      0.7198E-01
          19           1           1           1  0.1511E-01  0.8486E-02
          20           1           1           1  0.1104E-14  0.2954E-25
          21           1           1           1  0.1121      0.7198E-01
          22           1           1           1  0.4031      0.2730    
          23           1           1           1  0.1638E-13  0.9628E-24
          24           1           1           1  0.1511E-01  0.8486E-02
          25           1           1           1  0.1511E-01  0.8486E-02
          26           1           1           1  0.1638E-13  0.9628E-24
          27           1           1           1  0.3994      0.2730    
          28           1           1           1  0.1121      0.7198E-01
          29           1           1           1  0.1104E-14  0.2954E-25
          30           1           1           1  0.1511E-01  0.8486E-02
          31           1           1           1  0.1121      0.7198E-01
          32           1           1           1  0.8334E-01  0.5680E-01
          33           1           1           1   0.000       0.000    
          34           1           1           1  0.8334E-01  0.5680E-01
          35           1           1           1  0.3726E-30 -0.2716E-40
          36           1           1           1  0.9097E-01  0.5976E-01
          37           1           1           1  0.8334E-01  0.5680E-01
          38           1           1           1  0.4755      0.3817    
          39           1           1           1  0.4039      0.2729    
          40           1           1           1  0.4608E-15 -0.5666E-26
          41           1           1           1  0.3726E-30 -0.2716E-40
          42           1           1           1  0.4039      0.2729    
          43           1           1           1  -0.000      -0.000    
          44           1           1           1  0.4039      0.2729    
          45           1           1           1  0.9097E-01  0.5976E-01
          46           1           1           1  0.4608E-15 -0.5666E-26
          47           1           1           1  0.4039      0.2729    
          48           1           1           1  0.4755      0.3817    
          49           1           1           1  0.8348E-01  0.5680E-01
          50           1           1           1 -0.9872E-31 -0.9497E-42
          51           1           1           1  0.1566E-01  0.8927E-02
          52           1           1           1  0.1142      0.7198E-01
          53           1           1           1 -0.9872E-31 -0.9497E-42
          54           1           1           1  0.8334E-01  0.5680E-01
          55           1           1           1  0.1113      0.7198E-01
          56           1           1           1  0.1323E-01  0.8486E-02
          57           1           1           1  0.1566E-01  0.8927E-02
          58           1           1           1  0.1113      0.7198E-01
          59           1           1           1  0.4031      0.2730    
          60           1           1           1  0.1638E-13  0.9628E-24
          61           1           1           1  0.1142      0.7198E-01
          62           1           1           1  0.1323E-01  0.8486E-02
          63           1           1           1  0.1638E-13  0.9628E-24
          64           1           1           1  0.4031      0.2730    
           1           2           1           1 -0.3005E-14  0.4051E-24
           2           2           1           1  0.1943E-01  0.2008E-01
           3           2           1           1 -0.8684E-15  0.6795E-25
           4           2           1           1  0.1995E-01  0.2008E-01
           5           2           1           1  0.1279E-01  0.2008E-01
           6           2           1           1 -0.1712E-15   0.000    
           7           2           1           1  0.1279E-01  0.2008E-01
           8           2           1           1  0.2215E-24 -0.2570E-28
           9           2           1           1 -0.8684E-15  0.6795E-25
          10           2           1           1  0.1279E-01  0.2008E-01
